run_name,learning_rate,num_train_epochs,lora_r,lora_alpha,lora_dropout,max_length,per_device_train_batch_size,gradient_accumulation_steps,warmup_ratio,final_train_loss,eval_loss,eval_ppl,train_runtime
run_001,0.0001,1,16,32,0.05,160,4,4,0.06,3.39302001953125,3.380995988845825,29.400038646360365,4354.3998
run_002,0.0001,1,32,64,0.05,160,4,4,0.06,3.3681658935546874,3.351284980773926,28.539382650095277,4374.5984
run_003,0.0001,3,16,32,0.05,160,4,4,0.06,3.273028564453125,3.306230068206787,27.282079776391132,13084.2575
run_004,0.0001,3,32,64,0.05,160,4,4,0.06,3.214693908691406,3.277468681335449,26.508586021735397,13118.3805
run_005,0.0002,1,16,32,0.05,160,4,4,0.06,3.357527770996094,3.33844256401062,28.175211428381967,4357.168
run_006,0.0002,1,32,64,0.05,160,4,4,0.06,3.3338946533203124,3.3114945888519287,27.42608557677554,4372.4056
run_007,0.0002,3,16,32,0.05,160,4,4,0.06,3.197962646484375,3.2680740356445312,26.260713409067545,13100.0748
run_008,0.0002,3,32,64,0.05,160,4,4,0.06,3.1151702880859373,3.2506484985351562,25.807070339091258,13128.2711
